Time,No Filter,,,Moving Average,,,,,,,,,Complementary,,,,,,,,,GOAT
,,,,,10,,,15,,,20,,,0.48499999999999999,,,0.34999999999999998,,,0.20000000000000001,,
0,0.29281616210900002,0.26138305664099998,0.25650024414099998,0.26618957519500003,0.26260375976599998,0.29281616210900002,0.26741027832000003,0.26260375976599998,0.25772094726599998,0.26618957519500003,0.25772094726599998,0.26260375976599998,0.25047302246100001,0.27107238769500003,0.25047302246100001,0.29525756835900002,0.26138305664099998,0.26618957519500003,0.25169372558600001,0.26016235351599998,0.25413513183600001,0.26016235351599998
0.050000000000000003,0.34606933593799999,0.32066345214800002,0.29159545898400002,0.32913208007799999,0.30975341796900002,0.34965515136699998,0.31333923339800002,0.28915405273400002,0.28678894042999997,0.29525756835900002,0.28190612792999997,0.28190612792999997,0.30372619628899999,0.31944274902300002,0.30250549316399999,0.30128479003899999,0.33393859863300002,0.33027648925800002,0.279541015625,0.28068542480499997,0.30128479003899999,0.29403686523400002
0.10000000000000001,0.35331726074199998,0.36293029785199998,0.37750244140599998,0.36781311035199998,0.37261962890599998,0.38352966308600001,0.35934448242200001,0.34606933593799999,0.32546997070299999,0.32546997070299999,0.32669067382799999,0.30731201171900002,0.34965515136699998,0.37872314453099998,0.34965515136699998,0.33996582031200001,0.36537170410199998,0.38108825683600001,0.31455993652300002,0.31944274902300002,0.35331726074199998,0.32913208007799999
0.14999999999999999,0.41374206542999997,0.42098999023400002,0.39924621582000003,0.41374206542999997,0.41618347167999997,0.46333312988300002,0.38833618164099998,0.38230895996100001,0.38352966308600001,0.37506103515599998,0.35812377929700001,0.35934448242200001,0.38719177246100001,0.41740417480499997,0.38955688476599998,0.38955688476599998,0.41015625,0.42945861816399999,0.36903381347699998,0.37872314453099998,0.37986755371100001,0.38352966308600001
0.20000000000000001,0.50323486328099998,0.49842834472699998,0.44517517089800002,0.49598693847699998,0.45852661132799999,0.51658630371100001,0.45608520507799999,0.42831420898400002,0.42343139648400002,0.411376953125,0.39321899414099998,0.39802551269500003,0.46699523925800002,0.46821594238300002,0.48027038574199998,0.41740417480499997,0.47790527343799999,0.50209045410200004,0.40168762207000003,0.42465209960900002,0.43678283691399999,0.42709350585900002
0.25,0.49476623535199998,0.51902770996100001,0.51414489746100001,0.5419921875,0.53596496581999997,0.55282592773399997,0.51536560058600001,0.49720764160199998,0.47302246093799999,0.45730590820299999,0.45730590820299999,0.43556213378899999,0.52383422851600003,0.54679870605500003,0.52627563476600003,0.45249938964800002,0.53352355956999997,0.538330078125,0.45974731445299999,0.48271179199199998,0.48995971679700001,0.48027038574199998
0.29999999999999999,0.56015014648399997,0.58067321777299996,0.57586669921900002,0.58670043945299999,0.57464599609400002,0.61576843261699998,0.54679870605500003,0.53955078125,0.5419921875,0.52986145019499997,0.50811767578099998,0.50933837890599998,0.56617736816399999,0.59280395507799999,0.56617736816399999,0.53108215331999997,0.57945251464799996,0.58433532714799996,0.53474426269499997,0.538330078125,0.53230285644499997,0.55046081543000003
0.34999999999999998,0.60607910156199996,0.64964294433600001,0.62545776367200001,0.66291809081999997,0.62057495117200001,0.66413879394499997,0.61332702636699998,0.59036254882799999,0.58433532714799996,0.56617736816399999,0.55526733398399997,0.55168151855500003,0.63629150390599998,0.64476013183600001,0.63873291015599998,0.58670043945299999,0.64964294433600001,0.66535949706999997,0.57098388671900002,0.58189392089799996,0.59638977050800002,0.59638977050800002
0.40000000000000002,0.65444946289100003,0.68107604980500003,0.67741394043000003,0.70281982421900002,0.68588256835899997,0.70159912109400002,0.66291809081999997,0.66047668456999997,0.63514709472700004,0.61088562011699998,0.61454772949199998,0.59158325195299999,0.673828125,0.69198608398399997,0.68351745605500003,0.64964294433600001,0.69679260253899999,0.69801330566399999,0.62179565429700001,0.62782287597700004,0.64964294433600001,0.63270568847700004
0.45000000000000001,0.70526123046900002,0.74638366699199998,0.73066711425800002,0.72463989257799999,0.71617126464799996,0.74157714843800004,0.69435119628899999,0.69076538085899997,0.69198608398399997,0.672607421875,0.65933227539100003,0.66291809081999997,0.71975708007799999,0.73425292968800004,0.72341918945299999,0.66658020019499997,0.72463989257799999,0.72822570800800002,0.68351745605500003,0.68588256835899997,0.68710327148399997,0.70281982421900002
0.5,0.72097778320299999,0.76812744140599998,0.73310852050800002,0.76698303222700004,0.74516296386699998,0.77659606933600001,0.73669433593800004,0.72700500488300002,0.72219848632799999,0.70526123046900002,0.70404052734400002,0.69679260253899999,0.77659606933600001,0.78025817871100001,0.77178955078099998,0.71128845214799996,0.77903747558600001,0.77423095703099998,0.71617126464799996,0.71495056152299996,0.72700500488300002,0.73310852050800002
0.55000000000000004,0.76332092285200004,0.79353332519499997,0.79116821289100003,0.79231262206999997,0.78269958496100001,0.79597473144499997,0.76454162597700004,0.76087951660200004,0.75607299804700001,0.72341918945299999,0.73425292968800004,0.73547363281199996,0.79597473144499997,0.79353332519499997,0.79841613769499997,0.76698303222700004,0.79841613769499997,0.804443359375,0.74272155761699998,0.74638366699199998,0.76210021972700004,0.76454162597700004
0.59999999999999998,0.77056884765599998,0.82984924316399999,0.79841613769499997,0.804443359375,0.80322265625,0.81657409668000003,0.77781677246100001,0.76812744140599998,0.77178955078099998,0.75851440429700001,0.75119018554700001,0.75485229492200001,0.80810546875,0.806884765625,0.82015991210899997,0.77545166015599998,0.81535339355500003,0.82382202148399997,0.78269958496100001,0.78750610351600003,0.79475402831999997,0.79116821289100003
